inst_origen,inst_destino,soporte_total,n_pares_servicio,peso,frac_prom_ponderada
SANIDAD NAVAL DE LA ARMADA DE CHILE,CAJA DE PREVISION DE LA DEFENSA NACIONAL,6221,1,6131.0,0.9855328725285324
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,SUBSECRETARIA DE EDUCACION,6220,1,5573.0,0.8959807073954984
MINISTERIO DE DESARROLLO SOCIAL,SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,6101,1,5353.0,0.8773971480085232
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE PREVENCION DEL DELITO,6063,1,5216.0,0.8603001814283358
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,SUBSECRETARIA DE BIENES NACIONALES,6062,1,5194.0,0.8568129330254042
PODER JUDICIAL,MUNICIPALIDAD DE COLINA,6020,1,5423.0,0.9008305647840532
MINISTERIO PUBLICO,CARABINEROS DE CHILE,5998,1,5167.0,0.8614538179393131
ACEPTA.COM S.A.,PRESIDENCIA DE LA REPUBLICA,5997,1,5847.0,0.9749874937468734
SUBSECRETARIA DE VIVIENDA Y URBANISMO,SUBSECRETARIA DE EVALUACION SOCIAL,5985,1,5184.0,0.8661654135338346
ACEPTA.COM S.A.,ADMINISTRADORA DE FONDOS DE CESANTIA,5977,1,5342.0,0.8937594110757905
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,5944,1,5359.0,0.9015814266487214
ACEPTA.COM S.A.,CONSEJO NACIONAL DE TELEVISION,5820,1,5495.999999999999,0.9443298969072164
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE TRANSPORTES,5799,1,5033.0,0.8679082600448353
INSTITUTO DE PREVISION SOCIAL,ILUSTRE MUNICIPALIDAD DE PENALOLEN,5797,1,5596.0,0.9653268932206314
SUBSECRETARIA DE JUSTICIA,CARABINEROS DE CHILE,5770,1,5447.0,0.9440207972270364
DIRECCION DEL TRABAJO,SUBSECRETARIA DE BIENES NACIONALES,5767,1,4907.0,0.8508756719264783
ACEPTA.COM S.A.,"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO",5708,1,5042.0,0.8833216538192011
TESORERIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE BIENES NACIONALES,5631,1,5165.0,0.9172438288048304
TESORERIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE PREVISION SOCIAL,5628,1,5627.0,0.999822316986496
SUBSECRETARIA DE TELECOMUNICACIONES,SECRETARIA DE GOBIERNO DIGITAL,5587,1,4939.0,0.8840164667979238
SERVICIO AGRICOLA Y GANADERO,SUPERINTENDENCIA DE EDUCACION,5586,1,4941.0,0.8845327604726101
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,5581,1,5381.000000000001,0.9641641282924209
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",AFP CUPRUM,5573,1,5067.999999999999,0.9093845325677371
CONTRALORIA GENERAL DE LA REPUBLICA,E-CERT CHILE,5557,1,4910.0,0.8835702717293503
SERVICIO DE SALUD MAULE,SUBSECRETARIA DE TRANSPORTES,5530,1,4919.0,0.8895117540687161
INSTITUTO DE PREVISION SOCIAL,SERVICIO NACIONAL DEL CONSUMIDOR,5521,1,4759.0,0.8619815250860351
SERVICIO DE COOPERACION TECNICA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,5485,1,4871.0,0.8880583409298086
TESORERIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE HACIENDA,5471,1,5338.0,0.9756900018278194
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE VINA DEL MAR,5447,1,4659.0,0.8553332109418028
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE TRANSPORTES,5403,1,5126.000000000001,0.9487321858226913
DIRECCION CHILECOMPRA,MINISTERIO PUBLICO,5371,1,4663.0,0.8681809718860547
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE ENERGIA,5349,1,5349.0,1.0
PODER JUDICIAL,TRIBUNAL CONSTITUCIONAL DE CHILE,5304,1,4754.0,0.8963046757164405
MUNICIPALIDAD DE SANTIAGO,SUBSECRETARIA DE TRANSPORTES,5249,1,4551.0,0.8670222899599924
TESORERIA GENERAL DE LA REPUBLICA,PODER JUDICIAL,5239,1,4464.0,0.8520710059171598
INSTITUTO DE DESARROLLO AGROPECUARIO,SUBSECRETARIA DE JUSTICIA,5225,1,4558.0,0.8723444976076555
DIRECCION DEL TRABAJO,CAJA DE PREVISION DE LA DEFENSA NACIONAL,5144,1,5005.0,0.9729782270606532
SERVICIO AGRICOLA Y GANADERO,CONSEJO NACIONAL DE TELEVISION,5066,1,4647.0,0.9172917489143309
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE JUSTICIA,5033,1,4823.000000000001,0.9582753824756608
SUBSECRETARIA GENERAL DE LA PRESIDENCIA,MINISTERIO PUBLICO,5021,1,4929.0,0.9816769567815177
ACEPTA.COM S.A.,DIRECCION DEL TRABAJO,4964,1,4420.0,0.8904109589041096
SUBSECRETARIA DE JUSTICIA,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,4910,1,4220.0,0.8594704684317719
SUBSECRETARIA DE EDUCACION,TESORERIA GENERAL DE LA REPUBLICA,4904,1,4572.999999999999,0.9325040783034256
SERVICIO CIVIL,E-DIGITAL PKI SPA.,4874,1,4303.0,0.8828477636438243
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,SUBSECRETARIA DE REDES ASISTENCIALES,4826,1,4252.0,0.8810609200165769
SUBSECRETARIA DE EDUCACION,E-CERT CHILE,4788,1,4547.000000000001,0.9496658312447788
TESORERIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE EDUCACION,4788,1,4651.999999999999,0.9715956558061819
MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,4784,1,4471.0,0.9345735785953178
ESIGN S.A.,MUNICIPALIDAD DE MAIPU,4774,1,4254.0,0.8910766652702137
SUBSECRETARIA GENERAL DE GOBIERNO,SUBSECRETARIA DE HACIENDA,4762,1,4131.0,0.8674926501469971
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE PREVENCION DEL DELITO,4699,1,4616.0,0.9823366673760374
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE LO BARNECHEA,4686,1,4053.9999999999995,0.8651301749893299
GENDARMERIA DE CHILE,SUBSECRETARIA DE DERECHOS HUMANOS,4636,1,3967.9999999999995,0.8559102674719585
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,ILUSTRE MUNICIPALIDAD DE PENALOLEN,4623,1,4018.0,0.8691325978801644
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,MUNICIPALIDAD DE COLINA,4587,1,3984.0,0.868541530412034
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE SALUD PUBLICA,4542,1,4014.0,0.8837516512549538
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,MINISTERIO DE EDUCACION,4506,1,4027.0,0.8936972924988904
SERVICIO ELECTORAL,SUBSECRETARIA DE PREVISION SOCIAL,4473,1,4401.999999999999,0.984126984126984
SERVICIO CIVIL,SUBSECRETARIA DE VIVIENDA Y URBANISMO,4442,1,3862.0,0.8694281855020262
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,4406,1,4294.0,0.9745801180208806
TESORERIA GENERAL DE LA REPUBLICA,AFP UNO,4378,1,3830.0,0.8748286888990406
ACEPTA.COM S.A.,UNIVERSIDAD DE SANTIAGO DE CHILE,4371,1,4155.0,0.9505833905284832
SERVICIO NACIONAL DEL CONSUMIDOR,CAJA DE PREVISION DE LA DEFENSA NACIONAL,4355,1,4237.0,0.9729047072330654
MUNICIPALIDAD DE LAS CONDES,SUBSECRETARIA DE REDES ASISTENCIALES,4334,1,3880.0,0.8952468850946008
CONTRALORIA GENERAL DE LA REPUBLICA,SERVICIO NACIONAL DEL CONSUMIDOR,4270,1,3792.0,0.8880562060889929
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE TELECOMUNICACIONES,4250,1,3699.0,0.8703529411764706
SERVICIO ELECTORAL,SERVICIO SALUD ARAUCANIA SUR,4227,1,3636.0,0.8601845280340668
ACEPTA.COM S.A.,INSTITUTO NACIONAL DE LA JUVENTUD,4225,1,3706.0,0.8771597633136095
SERVICIO NACIONAL DEL CONSUMIDOR,SUBSECRETARIA DE EDUCACION,4218,1,3745.0,0.8878615457562826
MINISTERIO DE EDUCACION,MINISTERIO PUBLICO,4192,1,3664.0,0.8740458015267175
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,E-DIGITAL PKI SPA.,4124,1,3688.0,0.8942774005819593
PODER JUDICIAL,SUBSECRETARIA DE PREVISION SOCIAL,4118,1,4021.9999999999995,0.9766877124817872
SUBSECRETARIA DE REDES ASISTENCIALES,SERVICIO NACIONAL DEL CONSUMIDOR,4111,1,3651.0,0.888105083921187
TESORERIA GENERAL DE LA REPUBLICA,MUNICIPALIDAD DE COLINA,4111,1,3955.0000000000005,0.9620530284602288
ACEPTA.COM S.A.,SUBSECRETARIA DE DERECHOS HUMANOS,4103,1,3846.0,0.9373629051913234
SUBSECRETARIA DE REDES ASISTENCIALES,SERVICIO SALUD ARAUCANIA SUR,4079,1,3627.0,0.8891885265996567
SUBSECRETARIA DE EDUCACION,SERVICIO NACIONAL DEL CONSUMIDOR,4018,1,3781.0,0.9410154305624688
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE VIVIENDA Y URBANISMO,3977,1,3541.0,0.890369625345738
MINISTERIO DE DESARROLLO SOCIAL,AFP MODELO,3951,1,3541.0,0.8962288028347254
ACEPTA.COM S.A.,EJERCITO DE CHILE,3930,1,3767.9999999999995,0.9587786259541984
SERVICIO NACIONAL DEL CONSUMIDOR,MUNICIPALIDAD DE COLINA,3920,1,3563.0,0.9089285714285714
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",AGENCIA NACIONAL DE CIBERSEGURIDAD,3914,1,3558.9999999999995,0.9092999489013796
EJERCITO DE CHILE,CAJA DE PREVISION DE LA DEFENSA NACIONAL,3900,1,3804.0,0.9753846153846154
CONTRALORIA GENERAL DE LA REPUBLICA,BPO ADVISORS SPA,3875,1,3417.0,0.8818064516129033
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE DERECHOS HUMANOS,3857,1,3387.0,0.8781436349494426
SUBSECRETARIA DE REDES ASISTENCIALES,SERVICIO NACIONAL DE ADUANAS,3847,1,3314.0,0.8614504808942033
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DEL TRABAJO,3815,1,3447.0000000000005,0.9035386631716908
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,3794,1,3277.0,0.8637322087506589
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE TELECOMUNICACIONES,3786,1,3330.0,0.8795562599049128
SERVICIO NACIONAL DEL CONSUMIDOR,SUBSECRETARIA DE PREVISION SOCIAL,3785,1,3685.9999999999995,0.9738441215323644
SUBSECRETARIA DE JUSTICIA,CONSEJO NACIONAL DE TELEVISION,3716,1,3233.0,0.870021528525296
UNIVERSIDAD DE LA FRONTERA,FONDO NACIONAL DE SALUD,3697,1,3224.0,0.8720584257506087
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE EDUCACION,3669,1,3209.0,0.8746252384846007
MINISTERIO DE DESARROLLO SOCIAL,MINISTERIO DE EDUCACION,3658,1,3189.0,0.8717878622197922
SUBSECRETARIA GENERAL DE GOBIERNO,SUBSECRETARIA DE TRANSPORTES,3639,1,3210.0,0.8821104699093157
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,MINISTERIO PUBLICO,3636,1,3243.0,0.891914191419142
MUNICIPALIDAD DE PUENTE ALTO,SUBSECRETARIA DE REDES ASISTENCIALES,3632,1,3207.0,0.8829845814977973
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE PREVENCION DEL DELITO,3622,1,3207.0,0.8854224185532855
SERVICIO AGRICOLA Y GANADERO,EJERCITO DE CHILE,3621,1,3241.0,0.8950566141949737
ACEPTA.COM S.A.,SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,3596,1,3275.0,0.910734149054505
ACEPTA.COM S.A.,SERVICIO SALUD ARAUCANIA SUR,3595,1,3448.0,0.9591098748261474
SUBSECRETARIA DE EDUCACION,BPO ADVISORS SPA,3592,1,3397.0000000000005,0.9457126948775056
BPO ADVISORS SPA,CAJA DE PREVISION DE LA DEFENSA NACIONAL,3555,1,3400.9999999999995,0.9566807313642756
SUBSECRETARIA DE TELECOMUNICACIONES,TESORERIA GENERAL DE LA REPUBLICA,3548,1,3157.0,0.8897970687711386
SECRETARIA DE GOBIERNO DIGITAL,CARABINEROS DE CHILE,3523,1,2995.0,0.8501277320465512
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE CORONEL,3519,1,3461.0000000000005,0.9835180448991192
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,JUNTA NACIONAL DE JARDINES INFANTILES,3517,1,3063.0,0.8709127096957634
INSTITUTO DE DESARROLLO AGROPECUARIO,FONDO NACIONAL DE SALUD,3507,1,3082.0,0.8788138009694896
CONTRALORIA GENERAL DE LA REPUBLICA,ESIGN S.A.,3496,1,3089.0,0.8835812356979404
ACEPTA.COM S.A.,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,3493,1,3107.0,0.8894932722588034
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE ANTOFAGASTA,3492,1,3287.0,0.9412943871706758
CONTRALORIA GENERAL DE LA REPUBLICA,INSTITUTO DE PREVISION SOCIAL,3472,1,3105.0,0.8942972350230415
MINISTERIO DE DESARROLLO SOCIAL,E-DIGITAL PKI SPA.,3451,1,3379.0,0.9791364821790786
FONDO NACIONAL DE SALUD,E-DIGITAL PKI SPA.,3446,1,3422.0,0.9930354033662218
SUBSECRETARIA DE JUSTICIA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,3428,1,3428.0,1.0
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE PADRE HURTADO,3425,1,2939.0,0.8581021897810219
SUBSECRETARIA DE TELECOMUNICACIONES,SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,3410,1,3008.0,0.8821114369501466
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE CORONEL,3351,1,3105.0,0.9265890778871978
SUBSECRETARIA DE TELECOMUNICACIONES,E-CERT CHILE,3343,1,3094.0,0.9255160035895902
TESORERIA GENERAL DE LA REPUBLICA,AGENCIA NACIONAL DE CIBERSEGURIDAD,3310,1,3168.0,0.9570996978851963
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE SERVICIOS SOCIALES,3274,1,2944.0,0.8992058643860721
SECRETARIA DE GOBIERNO DIGITAL,MUNICIPALIDAD DE CORONEL,3269,1,2847.0,0.8709085347200979
ACEPTA.COM S.A.,SUBSECRETARIA DE JUSTICIA,3257,1,3161.0,0.9705250230273258
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,MINISTERIO PUBLICO,3249,1,2984.9999999999995,0.9187442289935364
COMISION PARA EL MERCADO FINANCIERO,DOCDIGITAL,3224,1,2970.0,0.9212158808933002
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SERVICIO SALUD ARAUCANIA SUR,3224,1,2990.0,0.9274193548387096
PODER JUDICIAL,AFP CUPRUM,3220,1,2758.0,0.8565217391304348
ACEPTA.COM S.A.,SUPERINTENDENCIA DEL MEDIO AMBIENTE,3209,1,2743.0,0.854783421626675
MUNICIPALIDAD DE LAS CONDES,MINISTERIO PUBLICO,3197,1,2954.0,0.9239912417891774
MINISTERIO DE DESARROLLO SOCIAL,CRS CORDILLERA ORIENTE,3143,1,2784.0,0.8857779191854915
SUBSECRETARIA DE TELECOMUNICACIONES,INSTITUTO DE PREVISION SOCIAL,3073,1,2657.0,0.864627399934917
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,FUERZA AEREA DE CHILE,3016,1,2675.0,0.8869363395225465
BPO ADVISORS SPA,MUNICIPALIDAD DE COLINA,3001,1,2689.0,0.8960346551149617
SUBSECRETARIA DE JUSTICIA,SERVICIO SALUD ARAUCANIA SUR,2992,1,2674.0,0.8937165775401069
ACEPTA.COM S.A.,SERVICIO DE EVALUACION AMBIENTAL,2969,1,2570.0,0.8656113169417312
SUBSECRETARIA DE EDUCACION,ESIGN S.A.,2942,1,2798.0,0.9510537049626104
DIRECCION GENERAL DE MOVILIZACION NACIONAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,2920,1,2802.0,0.9595890410958904
SERVICIO NACIONAL DEL CONSUMIDOR,AGENCIA NACIONAL DE CIBERSEGURIDAD,2897,1,2483.0,0.8570935450466
SERVICIO AGRICOLA Y GANADERO,SERVICIO NACIONAL DEL CONSUMIDOR,2885,1,2736.0,0.9483535528596188
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE HACIENDA,2873,1,2746.0,0.9557953358858337
SERVICIO AGRICOLA Y GANADERO,SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,2869,1,2503.0,0.8724294179156501
MINISTERIO DE DESARROLLO SOCIAL,DOCDIGITAL,2867,1,2864.9999999999995,0.9993024066968955
DIRECCION DEL TRABAJO,SUBSECRETARIA DE PREVISION SOCIAL,2866,1,2752.0,0.9602233077459874
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,SUBSECRETARIA DE TRANSPORTES,2865,1,2439.0,0.8513089005235602
FONDO NACIONAL DE SALUD,DOCDIGITAL,2854,1,2827.0,0.9905395935529082
SUBSECRETARIA DE TELECOMUNICACIONES,CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,2850,1,2456.0,0.8617543859649123
CONTRALORIA,SUBSECRETARIA DE EVALUACION SOCIAL,2841,1,2584.0000000000005,0.909538894755368
ACEPTA.COM S.A.,SERVICIO DE SALUD METROPOLITANO ORIENTE,2827,1,2509.0,0.8875132649451716
ACEPTA.COM S.A.,SUPERINTENDENCIA DE EDUCACION SUPERIOR,2787,1,2493.0,0.8945102260495156
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,ILUSTRE MUNICIPALIDAD DE PENALOLEN,2770,1,2418.0,0.8729241877256317
SERVICIO AGRICOLA Y GANADERO,UNIVERSIDAD DE SANTIAGO DE CHILE,2707,1,2469.0,0.912079793128925
PODER JUDICIAL,AGENCIA NACIONAL DE CIBERSEGURIDAD,2705,1,2361.0,0.8728280961182995
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,CARABINEROS DE CHILE,2688,1,2338.0,0.8697916666666666
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE PREVENCION DEL DELITO,2628,1,2626.0,0.9992389649923896
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,CONSEJO NACIONAL DE TELEVISION,2589,1,2312.0,0.8930088837388953
CONTRALORIA,DOCDIGITAL,2581,1,2442.0,0.9461449050755522
SANIDAD NAVAL DE LA ARMADA DE CHILE,SUBSECRETARIA DE REDES ASISTENCIALES,2573,1,2207.0,0.8577535950252624
BPO ADVISORS SPA,SUBSECRETARIA DE PREVISION SOCIAL,2532,1,2460.0,0.9715639810426541
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO AGRICOLA Y GANADERO,2506,1,2505.0,0.9996009577015164
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE SAN CLEMENTE,2503,1,2405.0,0.9608469836196564
FONDO NACIONAL DE SALUD,SUBSECRETARIA GENERAL DE LA PRESIDENCIA,2482,1,2289.0,0.9222401289282837
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,SUBSECRETARIA DE PREVISION SOCIAL,2478,1,2386.0,0.9628732849071832
SERVICIO DE IMPUESTOS INTERNOS,MUNICIPALIDAD DE SAN CLEMENTE,2469,1,2210.0,0.8950992304576751
INSTITUTO DE PREVISION SOCIAL,MUNICIPALIDAD DE RECOLETA,2468,1,2172.0,0.880064829821718
MINISTERIO DE DESARROLLO SOCIAL,PRESIDENCIA DE LA REPUBLICA,2459,1,2279.9999999999995,0.9272061813745424
SERVICIO CIVIL,SERVICIO DE SALUD COQUIMBO,2448,1,2341.0000000000005,0.9562908496732028
MINISTERIO DE DESARROLLO SOCIAL,INSTITUTO DE SALUD PUBLICA DE CHILE,2444,1,2336.0,0.955810147299509
SERVICIO DE COOPERACION TECNICA,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,2431,1,2073.0,0.8527354997943233
GENDARMERIA DE CHILE,CONTRALORIA,2425,1,2196.0,0.9055670103092783
SUBSECRETARIA DE EDUCACION,SERVICIO CIVIL,2377,1,2123.0,0.8931426167437947
ACEPTA.COM S.A.,DIRECCION GENERAL DE AGUAS,2376,1,2034.0,0.8560606060606061
ACEPTA.COM S.A.,SUPERINTENDENCIA DE SERVICIOS SANITARIOS,2346,1,2063.0,0.8793691389599319
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE JUSTICIA,2346,1,2155.0,0.9185848252344416
SUBSECRETARIA DE REDES ASISTENCIALES,MINISTERIO PUBLICO,2338,1,2075.0,0.8875106928999145
SUBSECRETARIA DE SALUD PUBLICA,SERVICIO AGRICOLA Y GANADERO,2307,1,1986.9999999999998,0.8612917208495882
SECRETARIA DE GOBIERNO DIGITAL,MUNICIPALIDAD DE SAN CLEMENTE,2306,1,1982.0,0.8594969644405898
SERVICIO CIVIL,SUBSECRETARIA DE BIENES NACIONALES,2299,1,1995.0,0.8677685950413223
DIRECCION NACIONAL DEL SERVICIO CIVIL,CARABINEROS DE CHILE,2292,1,1956.0,0.8534031413612565
COMISION PARA EL MERCADO FINANCIERO,FUERZA AEREA DE CHILE,2276,1,1958.0,0.8602811950790861
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,AGENCIA NACIONAL DE CIBERSEGURIDAD,2265,1,1999.0,0.882560706401766
CONTRALORIA,SUBSECRETARIA DE EDUCACION,2264,1,1968.0,0.8692579505300353
INSTITUTO DE SEGURIDAD LABORAL,SUBSECRETARIA DE EVALUACION SOCIAL,2259,1,1937.0000000000002,0.8574590526781762
SUBSECRETARIA GENERAL DE LA PRESIDENCIA,CARABINEROS DE CHILE,2227,1,1963.0,0.8814548720251459
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,MUNICIPALIDAD DE COLINA,2212,1,1959.0,0.885623869801085
CONTRALORIA GENERAL DE LA REPUBLICA,DIRECCION NACIONAL DEL SERVICIO CIVIL,2197,1,2086.0,0.9494765589440146
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,2191,1,1993.9999999999998,0.9100867183934276
MUNICIPALIDAD DE LAS CONDES,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,2179,1,1950.0,0.8949059201468563
SUBSECRETARIA DE TELECOMUNICACIONES,BPO ADVISORS SPA,2162,1,1991.0,0.9209065679925994
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",DOCDIGITAL,2160,1,2019.0,0.9347222222222222
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE SERVICIOS SOCIALES,2160,1,2086.0,0.9657407407407408
UNIVERSIDAD DE LA FRONTERA,SUBSECRETARIA DE TELECOMUNICACIONES,2151,1,2065.0,0.9600185960018596
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,2135,1,1834.0,0.8590163934426229
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE PREVENCION DEL DELITO,2122,1,2114.0,0.9962299717247879
SUBSECRETARIA DEL TRABAJO,CAJA DE PREVISION DE LA DEFENSA NACIONAL,2115,1,2055.0,0.9716312056737588
ACEPTA.COM S.A.,AFP UNO,2112,1,2110.0,0.9990530303030303
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE SAN CLEMENTE,2112,1,1964.9999999999998,0.9303977272727272
SUBSECRETARIA DE EDUCACION,SERVICIO DE COOPERACION TECNICA,2111,1,1976.0,0.936049265750829
DIRECCION GENERAL DE MOVILIZACION NACIONAL,INSTITUTO DE PREVISION SOCIAL,2104,1,1861.0,0.8845057034220533
CONTRALORIA GENERAL DE LA REPUBLICA,DIRECCION GENERAL DE MOVILIZACION NACIONAL,2096,1,1807.0,0.862118320610687
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE PREVISION SOCIAL,2094,1,2037.0000000000002,0.9727793696275072
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,2084,1,1878.0000000000002,0.9011516314779272
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,MUNICIPALIDAD DE ZAPALLAR,2065,1,1762.0,0.853268765133172
TESORERIA GENERAL DE LA REPUBLICA,MUNICIPALIDAD DE LO BARNECHEA,2035,1,1782.0,0.8756756756756757
FONDO NACIONAL DE SALUD,SERVICIO DE SALUD MAULE,2010,1,1868.0,0.9293532338308458
INSTITUTO DE DESARROLLO AGROPECUARIO,MINISTERIO PUBLICO,2006,1,1749.0,0.8718843469591226
ACEPTA.COM S.A.,MUNICIPALIDAD DE TEMUCO,1993,1,1768.0,0.8871048670346212
SERVICIO CIVIL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,1988,1,1951.0,0.9813883299798792
SERVICIO DE SALUD MAULE,SUBSECRETARIA DE EVALUACION SOCIAL,1955,1,1689.0,0.8639386189258312
MINISTERIO DE DESARROLLO SOCIAL,SERVICIO DE SALUD NUBLE,1947,1,1691.0,0.8685156651258347
SERVICIO AGRICOLA Y GANADERO,ADMINISTRADORA DE FONDOS DE CESANTIA,1942,1,1656.0,0.8527291452111225
"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO",MINISTERIO PUBLICO,1939,1,1665.0,0.8586900464156781
PODER JUDICIAL,DOCDIGITAL,1938,1,1738.0,0.8968008255933952
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,CAJA DE PREVISION DE LA DEFENSA NACIONAL,1937,1,1884.0000000000002,0.9726381001548788
CONTRALORIA GENERAL DE LA REPUBLICA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,1935,1,1935.0,1.0
SERVICIO DE COOPERACION TECNICA,SUBSECRETARIA DE BIENES NACIONALES,1902,1,1643.0,0.8638275499474237
